Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax,Total,Date,Time,Payment,COGS,Gross margin percentage,Gross income,Rating
751-000071,C,Mandalay,Member,Male,Home and lifestyle,42.42,9,0.0732,409.73,15/02/2022,18:23:47,Cash,197.69,51.75,212.04,5.2
751-000072,A,Yangon,Member,Male,Food and beverages,19.39,2,0.0895,42.25,15/02/2022,05:05:53,E wallet,18.04,57.31,24.21,5.9
751-000073,A,Naypyidaw,Normal,Male,Electronic accessories,415.16,8,0.0801,3587.31,16/02/2022,02:41:00,E wallet,1396.54,61.07,2190.77,8.6
751-000074,B,Yangon,Normal,Male,Health and beauty,267.12,8,0.0827,2313.69,16/02/2022,13:35:57,Credit card,948.15,59.02,1365.54,9.2
751-000075,C,Mandalay,Normal,Male,Food and beverages,389.87,4,0.0999,1715.27,16/02/2022,11:37:10,Credit card,522.47,69.54,1192.8,7.1
751-000076,C,Yangon,Normal,Female,Health and beauty,124.87,1,0.0537,131.58,16/02/2022,11:41:49,Credit card,73.49,44.15,58.09,10.0
751-000077,A,Yangon,Member,Male,Sports and outdoors,179.09,1,0.0612,190.05,17/02/2022,06:06:10,Cash,89.53,52.89,100.52,4.1
751-000078,B,Naypyidaw,Member,Male,Clothing and accessories,24.75,2,0.0704,52.98,17/02/2022,03:51:30,Credit card,25.04,52.74,27.94,5.8
751-000079,A,Naypyidaw,Member,Male,Electronic accessories,481.13,9,0.0674,4622.02,18/02/2022,00:12:17,Cash,2195.0,52.51,2427.02,7.7
751-000080,A,Mandalay,Normal,Male,Book and media,337.26,2,0.0511,708.99,20/02/2022,08:57:55,Cash,284.23,59.91,424.76,6.8
751-000081,A,Yangon,Normal,Male,Electronic accessories,467.27,2,0.0546,985.57,20/02/2022,08:30:54,Credit card,446.56,54.69,539.01,4.7
751-000082,A,Yangon,Normal,Male,Sports and outdoors,140.09,6,0.084,911.15,20/02/2022,08:09:01,Credit card,405.28,55.52,505.87,6.2
751-000083,C,Naypyidaw,Normal,Male,Electronic accessories,309.62,7,0.094,2371.07,22/02/2022,05:14:02,Cash,1115.11,52.97,1255.96,4.2
751-000084,C,Yangon,Member,Male,Book and media,342.46,7,0.0757,2578.69,22/02/2022,10:30:05,E wallet,780.05,69.75,1798.64,7.9
751-000085,A,Yangon,Member,Female,Home and lifestyle,165.6,9,0.077,1605.16,22/02/2022,02:55:10,E wallet,516.38,67.83,1088.78,9.4
751-000086,B,Yangon,Normal,Male,Health and beauty,425.57,6,0.0628,2713.77,22/02/2022,14:44:51,Cash,1377.78,49.23,1335.99,9.3
751-000087,B,Naypyidaw,Member,Male,Book and media,474.11,8,0.0884,4128.17,23/02/2022,09:37:46,Credit card,2338.61,43.35,1789.56,8.2
751-000088,B,Mandalay,Normal,Male,Food and beverages,443.58,6,0.0876,2894.63,23/02/2022,17:49:06,Cash,1007.62,65.19,1887.01,6.8
751-000089,B,Mandalay,Normal,Male,Sports and outdoors,372.14,2,0.0794,803.38,23/02/2022,14:17:17,Cash,241.66,69.92,561.72,7.1
751-000090,A,Yangon,Member,Female,Home and lifestyle,145.96,1,0.0606,154.81,25/02/2022,19:40:23,Credit card,79.29,48.78,75.52,4.8
751-000091,C,Mandalay,Normal,Female,Food and beverages,147.99,5,0.0549,780.57,25/02/2022,01:39:19,E wallet,384.59,50.73,395.98,6.0
751-000092,B,Naypyidaw,Normal,Female,Food and beverages,482.05,9,0.0532,4569.26,27/02/2022,01:42:25,Cash,1450.74,68.25,3118.52,5.1
751-000093,A,Naypyidaw,Member,Female,Sports and outdoors,15.04,8,0.0796,129.9,27/02/2022,06:37:29,E wallet,50.23,61.33,79.67,8.9
751-000094,B,Mandalay,Normal,Female,Home and lifestyle,360.86,4,0.0913,1575.23,27/02/2022,09:04:10,E wallet,805.42,48.87,769.81,9.5
751-000095,B,Mandalay,Normal,Female,Clothing and accessories,356.06,5,0.0929,1945.69,27/02/2022,00:33:55,Credit card,828.28,57.43,1117.41,7.2
751-000096,A,Yangon,Member,Female,Food and beverages,315.12,5,0.0732,1690.93,28/02/2022,00:18:01,Cash,535.52,68.33,1155.41,8.4
751-000097,C,Mandalay,Normal,Female,Food and beverages,495.15,6,0.0892,3235.9,02/03/2022,20:19:22,Cash,1153.6,64.35,2082.3,4.7
751-000098,C,Yangon,Member,Female,Home and lifestyle,162.82,3,0.0973,535.99,03/03/2022,20:23:03,E wallet,202.34,62.25,333.65,7.7
751-000099,A,Yangon,Normal,Female,Electronic accessories,176.59,5,0.0638,939.28,04/03/2022,11:21:19,E wallet,355.89,62.11,583.39,8.2
751-000100,C,Naypyidaw,Member,Female,Food and beverages,48.68,2,0.0699,104.17,04/03/2022,17:00:29,Credit card,56.94,45.34,47.23,6.7
751-000101,A,Naypyidaw,Member,Female,Health and beauty,226.97,1,0.0966,248.9,06/03/2022,00:23:13,E wallet,87.76,64.74,161.14,5.5
751-000102,A,Naypyidaw,Member,Female,Home and lifestyle,137.91,1,0.0669,147.14,06/03/2022,03:04:10,Credit card,76.1,48.28,71.04,9.3
751-000103,A,Naypyidaw,Normal,Female,Food and beverages,178.26,7,0.0957,1367.24,08/03/2022,22:12:15,Cash,438.75,67.91,928.49,8.5
751-000104,C,Mandalay,Member,Female,Sports and outdoors,418.94,2,0.0991,920.91,10/03/2022,12:23:53,Credit card,451.8,50.94,469.11,9.4
751-000105,A,Naypyidaw,Member,Female,Book and media,468.39,4,0.0831,2029.25,10/03/2022,01:15:37,E wallet,695.42,65.73,1333.83,8.9
751-000106,B,Mandalay,Member,Male,Health and beauty,101.01,5,0.0908,550.91,10/03/2022,13:00:48,Cash,286.53,47.99,264.38,9.9
751-000107,C,Naypyidaw,Member,Female,Book and media,192.53,7,0.0875,1465.63,11/03/2022,10:50:34,Credit card,653.08,55.44,812.55,5.2
751-000108,C,Mandalay,Member,Male,Book and media,465.03,2,0.085,1009.12,13/03/2022,10:28:36,Cash,573.08,43.21,436.04,4.5
751-000109,C,Yangon,Normal,Female,Food and beverages,40.29,6,0.0653,257.53,13/03/2022,16:57:53,Credit card,103.53,59.8,154.0,6.0
751-000110,C,Mandalay,Normal,Female,Health and beauty,55.26,1,0.0529,58.18,14/03/2022,06:41:27,E wallet,20.32,65.08,37.86,4.8
751-000111,B,Mandalay,Normal,Male,Health and beauty,89.77,7,0.0672,670.62,15/03/2022,10:02:51,E wallet,257.85,61.55,412.77,7.1
751-000112,C,Naypyidaw,Normal,Female,Electronic accessories,301.65,9,0.0833,2941.0,16/03/2022,09:58:41,Cash,1302.86,55.7,1638.14,7.8
751-000113,C,Mandalay,Normal,Male,Book and media,83.73,5,0.0551,441.72,16/03/2022,13:11:46,Cash,259.07,41.35,182.65,7.5
751-000114,A,Yangon,Normal,Male,Health and beauty,484.36,5,0.0506,2544.34,16/03/2022,09:29:31,Cash,814.19,68.0,1730.15,5.6
751-000115,C,Yangon,Normal,Male,Electronic accessories,228.89,4,0.057,967.75,17/03/2022,09:31:25,Credit card,375.87,61.16,591.88,9.5
751-000116,B,Naypyidaw,Member,Female,Home and lifestyle,255.74,3,0.0858,833.05,17/03/2022,18:00:55,E wallet,313.39,62.38,519.66,4.1
751-000117,B,Yangon,Normal,Female,Electronic accessories,130.86,9,0.0986,1293.87,19/03/2022,09:01:16,Cash,467.86,63.84,826.01,6.1
751-000118,B,Mandalay,Member,Female,Sports and outdoors,240.77,5,0.0992,1323.27,19/03/2022,06:06:51,Cash,497.15,62.43,826.12,8.3
751-000119,B,Yangon,Member,Male,Clothing and accessories,334.34,8,0.0747,2874.52,19/03/2022,08:21:33,Cash,1344.41,53.23,1530.11,8.6
751-000120,C,Naypyidaw,Normal,Male,Food and beverages,378.08,9,0.0935,3720.87,21/03/2022,13:48:00,Credit card,1413.56,62.01,2307.31,6.5
751-000121,C,Mandalay,Member,Female,Home and lifestyle,379.4,5,0.0868,2061.66,22/03/2022,08:19:52,Cash,850.43,58.75,1211.23,4.1
751-000122,B,Naypyidaw,Member,Female,Clothing and accessories,293.17,9,0.0751,2836.68,22/03/2022,18:35:39,Cash,975.25,65.62,1861.43,7.7
751-000123,B,Mandalay,Member,Female,Clothing and accessories,453.14,2,0.0786,977.51,22/03/2022,12:03:08,Credit card,351.22,64.07,626.29,4.4
751-000124,C,Yangon,Member,Female,Home and lifestyle,410.53,9,0.0569,3905.0,24/03/2022,08:21:17,Credit card,2294.58,41.24,1610.42,4.6
751-000125,B,Naypyidaw,Normal,Female,Sports and outdoors,380.95,4,0.0969,1671.46,26/03/2022,11:41:42,Cash,812.83,51.37,858.63,7.9
751-000126,A,Naypyidaw,Normal,Male,Electronic accessories,37.25,6,0.0676,238.61,27/03/2022,06:08:05,Cash,140.68,41.04,97.93,5.9
751-000127,B,Mandalay,Normal,Male,Food and beverages,13.37,6,0.0723,86.02,27/03/2022,18:47:46,Credit card,48.98,43.06,37.04,6.1
751-000128,B,Naypyidaw,Normal,Male,Electronic accessories,114.1,6,0.0836,741.83,27/03/2022,06:15:04,E wallet,311.27,58.04,430.56,6.9
751-000129,A,Mandalay,Normal,Female,Health and beauty,335.13,2,0.0667,714.97,29/03/2022,15:00:50,Credit card,241.59,66.21,473.38,9.9
751-000130,A,Mandalay,Normal,Male,Electronic accessories,211.49,7,0.0627,1573.25,31/03/2022,04:38:18,E wallet,887.47,43.59,685.78,9.8
751-000131,C,Mandalay,Normal,Male,Home and lifestyle,207.18,6,0.0816,1344.52,31/03/2022,21:36:16,Cash,624.8,53.53,719.72,6.5
751-000132,C,Mandalay,Normal,Male,Food and beverages,443.45,1,0.0512,466.15,31/03/2022,21:07:32,Cash,152.29,67.33,313.86,5.6
751-000133,A,Yangon,Normal,Male,Electronic accessories,448.83,2,0.086,974.86,01/04/2022,01:29:46,E wallet,346.76,64.43,628.1,5.8
751-000134,A,Mandalay,Normal,Male,Food and beverages,455.5,7,0.0757,3429.87,02/04/2022,19:17:42,Credit card,1523.21,55.59,1906.66,5.6
751-000135,C,Naypyidaw,Member,Female,Food and beverages,163.8,1,0.0803,176.95,02/04/2022,09:23:55,Cash,65.21,63.15,111.74,7.2
751-000136,B,Yangon,Normal,Male,Health and beauty,348.62,1,0.0816,377.07,03/04/2022,03:36:03,E wallet,167.12,55.68,209.95,7.6
751-000137,A,Naypyidaw,Member,Female,Health and beauty,143.1,1,0.0764,154.03,04/04/2022,12:24:12,Credit card,85.12,44.74,68.91,6.9
751-000138,C,Yangon,Member,Female,Home and lifestyle,103.4,8,0.0791,892.63,05/04/2022,17:58:23,E wallet,502.19,43.74,390.44,6.4
751-000139,B,Mandalay,Member,Female,Sports and outdoors,100.47,4,0.0842,435.72,05/04/2022,01:47:32,Credit card,236.81,45.65,198.91,5.3
751-000140,A,Yangon,Member,Female,Clothing and accessories,177.63,4,0.0877,772.83,06/04/2022,18:08:27,Credit card,382.32,50.53,390.51,6.9
751-000141,B,Yangon,Normal,Female,Food and beverages,220.68,2,0.0864,479.49,06/04/2022,02:56:38,Credit card,153.82,67.92,325.67,6.0
751-000142,C,Naypyidaw,Member,Male,Sports and outdoors,417.17,1,0.0935,456.18,06/04/2022,09:00:41,Credit card,164.27,63.99,291.91,
751-000143,A,Naypyidaw,Normal,Male,Clothing and accessories,68.75,9,0.0595,655.57,08/04/2022,20:08:46,E wallet,308.25,52.98,347.32,8.1
751-000144,B,Mandalay,Normal,Female,Clothing and accessories,370.11,7,0.0701,2772.38,09/04/2022,14:34:56,E wallet,1253.39,54.79,1518.99,7.8
751-000145,A,Yangon,Member,Female,Home and lifestyle,270.41,4,0.0974,1186.99,09/04/2022,04:40:57,E wallet,617.59,47.97,569.4,6.8
751-000146,B,Yangon,Normal,Female,Clothing and accessories,151.09,6,0.0698,969.82,09/04/2022,21:40:22,E wallet,376.97,61.13,592.85,7.3
751-000147,C,Yangon,Member,Male,Clothing and accessories,251.48,2,0.0562,531.23,09/04/2022,06:55:22,E wallet,190.82,64.08,340.41,5.7
751-000148,C,Mandalay,Member,Female,Food and beverages,156.97,7,0.0763,1182.63,09/04/2022,11:24:26,Credit card,624.78,47.17,557.85,4.1
751-000149,A,Mandalay,Normal,Male,Food and beverages,302.08,2,0.0555,637.69,09/04/2022,08:05:54,Cash,374.64,41.25,263.05,7.8
751-000150,B,Mandalay,Normal,Female,Book and media,222.58,8,0.0601,1887.66,09/04/2022,01:08:48,Cash,779.23,58.72,1108.43,5.5
751-000151,A,Mandalay,Member,Male,Sports and outdoors,90.56,8,0.0999,796.86,09/04/2022,00:50:05,E wallet,343.61,56.88,453.25,8.0
751-000152,A,Mandalay,Normal,Female,Electronic accessories,67.13,1,0.0771,72.31,10/04/2022,04:30:33,E wallet,34.67,52.06,37.64,8.5
751-000153,B,Naypyidaw,Normal,Male,Health and beauty,277.88,8,0.0642,2365.76,10/04/2022,08:28:57,Cash,962.39,59.32,1403.37,9.5
751-000154,B,Yangon,Normal,Female,Electronic accessories,452.18,2,0.0997,994.52,13/04/2022,13:35:35,Credit card,432.42,56.52,562.1,9.7
751-000155,B,Yangon,Member,Male,Sports and outdoors,178.54,6,0.0983,1176.54,13/04/2022,20:14:07,E wallet,617.45,47.52,559.09,4.1
751-000156,C,Yangon,Member,Male,Health and beauty,369.17,1,0.072,395.75,13/04/2022,03:47:20,Credit card,190.24,51.93,205.51,9.9
751-000157,A,Yangon,Normal,Male,Electronic accessories,332.74,5,0.063,1768.51,14/04/2022,03:15:21,Cash,834.03,52.84,934.48,8.1
751-000158,A,Yangon,Normal,Male,Book and media,466.46,7,0.0919,3565.29,14/04/2022,11:15:50,Cash,1197.58,66.41,2367.71,7.9
751-000159,C,Yangon,Normal,Male,Health and beauty,412.28,1,0.0858,447.65,15/04/2022,07:37:41,E wallet,139.53,68.83,308.12,4.1
751-000160,B,Yangon,Normal,Male,Food and beverages,287.64,2,0.0843,623.78,16/04/2022,04:28:17,Credit card,207.16,66.79,416.62,9.2
751-000161,C,Yangon,Normal,Male,Electronic accessories,331.94,7,0.0947,2543.62,16/04/2022,09:41:38,E wallet,977.26,61.58,1566.36,4.9
751-000162,C,Naypyidaw,Member,Female,Health and beauty,450.21,6,0.0845,2929.52,16/04/2022,17:00:38,Cash,1243.58,57.55,1685.94,9.0
751-000163,C,Yangon,Normal,Female,Book and media,205.76,3,0.0642,656.91,17/04/2022,20:00:14,Credit card,258.3,60.68,398.61,4.1
751-000164,A,Naypyidaw,Member,Female,Clothing and accessories,170.13,2,0.0847,369.08,17/04/2022,03:19:09,E wallet,117.48,68.17,251.6,7.9
751-000165,C,Mandalay,Normal,Female,Health and beauty,15.3,4,0.0653,65.2,19/04/2022,22:40:33,E wallet,34.23,47.5,30.97,6.6
751-000166,A,Yangon,Member,Female,Health and beauty,415.01,3,0.088,1354.59,19/04/2022,13:47:32,E wallet,595.34,56.05,759.25,5.2
751-000167,A,Mandalay,Normal,Male,Book and media,402.48,7,0.081,3045.57,21/04/2022,01:38:09,Cash,1197.21,60.69,1848.36,4.6
751-000168,A,Mandalay,Member,Male,Clothing and accessories,61.18,8,0.0539,515.82,21/04/2022,21:19:00,E wallet,204.37,60.38,311.45,6.6
751-000169,B,Mandalay,Normal,Male,Electronic accessories,292.66,2,0.0756,629.57,21/04/2022,12:00:04,Credit card,330.08,47.57,299.49,4.7
751-000170,A,Naypyidaw,Member,Male,Home and lifestyle,237.35,7,0.0672,1773.1,22/04/2022,15:14:48,E wallet,751.79,57.6,1021.31,6.9
751-000171,A,Mandalay,Member,Male,Electronic accessories,68.17,8,0.0664,581.57,23/04/2022,22:47:44,Cash,210.06,63.88,371.51,7.8
751-000172,B,Mandalay,Member,Female,Clothing and accessories,490.48,6,0.0801,3178.6,23/04/2022,10:16:48,E wallet,1454.21,54.25,1724.39,9.0
751-000173,A,Mandalay,Member,Female,Sports and outdoors,115.2,6,0.0661,736.89,23/04/2022,01:12:13,Cash,266.75,63.8,470.14,8.1
751-000174,C,Yangon,Member,Female,Book and media,42.94,1,0.0888,46.75,23/04/2022,10:27:41,Cash,23.0,50.8,23.75,4.4
751-000175,C,Yangon,Member,Female,Electronic accessories,301.48,4,0.0535,1270.44,25/04/2022,02:58:30,Credit card,404.51,68.16,865.93,5.8
751-000176,A,Naypyidaw,Normal,Male,Health and beauty,372.04,1,0.083,402.92,26/04/2022,16:46:08,Credit card,177.2,56.02,225.72,5.7
751-000177,B,Naypyidaw,Member,Male,Book and media,25.9,4,0.0905,112.98,27/04/2022,09:07:20,E wallet,47.59,57.88,65.39,9.5
751-000178,C,Yangon,Normal,Male,Food and beverages,332.77,2,0.0836,721.18,27/04/2022,12:58:49,Cash,425.93,40.94,295.25,9.2
751-000179,B,Naypyidaw,Normal,Female,Clothing and accessories,270.82,5,0.0749,1455.52,28/04/2022,04:05:29,Cash,798.93,45.11,656.59,6.2
